epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2741.01,0.06237,0.30868,0.89364,0.96622,0.97671,0.99205,0.99061,0.17832,0.28019,0.23552,0.000540037,0.000540037,0.000540037
43,2802.88,0.05779,0.30309,0.89082,0.971,0.98133,0.99277,0.99004,0.18506,0.24907,0.26783,0.000531038,0.000531038,0.000531038
44,2864.75,0.05753,0.28975,0.89159,0.97842,0.97765,0.99342,0.99342,0.16424,0.23001,0.24782,0.000522039,0.000522039,0.000522039
45,2926.88,0.05554,0.29533,0.89112,0.98509,0.98954,0.99418,0.98874,0.20998,0.21927,0.28659,0.00051304,0.00051304,0.00051304
46,2989.57,0.05706,0.28421,0.89008,0.96364,0.97782,0.98215,0.97621,0.23868,0.30007,0.33275,0.00050404,0.00050404,0.00050404
47,3051.44,0.05566,0.28541,0.88945,0.9709,0.97804,0.99264,0.99117,0.24321,0.23084,0.32356,0.000495041,0.000495041,0.000495041
48,3113.34,0.05607,0.2878,0.89378,0.98252,0.98355,0.99372,0.9936,0.19658,0.24272,0.28826,0.000486042,0.000486042,0.000486042
49,3175.35,0.05459,0.28236,0.88957,0.98555,0.97837,0.99334,0.99334,0.1582,0.22602,0.23605,0.000477043,0.000477043,0.000477043
50,3237.38,0.05484,0.27438,0.89141,0.98298,0.98232,0.99239,0.99141,0.18255,0.26717,0.26262,0.000468044,0.000468044,0.000468044
51,3303.88,0.05384,0.2747,0.89055,0.98344,0.98591,0.99394,0.99329,0.13048,0.22948,0.20238,0.000459045,0.000459045,0.000459045
52,3369.11,0.05574,0.27355,0.89139,0.96361,0.98368,0.99138,0.98957,0.1455,0.25801,0.21801,0.000450046,0.000450046,0.000450046
53,3431.28,0.0549,0.26972,0.88844,0.96962,0.97271,0.99252,0.99232,0.17135,0.25666,0.25935,0.000441047,0.000441047,0.000441047
54,3493.28,0.05605,0.27037,0.88958,0.95954,0.95688,0.99065,0.99,0.16901,0.25157,0.25038,0.000432048,0.000432048,0.000432048
55,3555.06,0.05179,0.27759,0.89076,0.97699,0.98704,0.9913,0.98776,0.21799,0.2621,0.28947,0.000423049,0.000423049,0.000423049
56,3616.97,0.05232,0.25876,0.89517,0.99186,0.97639,0.99394,0.91833,0.25901,0.44055,0.31567,0.000414049,0.000414049,0.000414049
57,3678.96,0.04982,0.25148,0.89051,0.99051,0.99101,0.99382,0.98239,0.2055,0.22632,0.27778,0.00040505,0.00040505,0.00040505
58,3740.88,0.04929,0.25621,0.88839,0.95487,0.97277,0.99173,0.99173,0.14176,0.23128,0.21608,0.000396051,0.000396051,0.000396051
59,3802.75,0.05003,0.2517,0.88878,0.97841,0.98274,0.99326,0.99077,0.16789,0.28255,0.24487,0.000387052,0.000387052,0.000387052
60,3864.62,0.04937,0.23558,0.889,0.98336,0.98627,0.99456,0.99418,0.19667,0.24042,0.27371,0.000378053,0.000378053,0.000378053
61,3931.94,0.04803,0.23048,0.8899,0.99064,0.98665,0.9943,0.98619,0.17493,0.24742,0.2475,0.000369054,0.000369054,0.000369054
62,3993.71,0.04737,0.23977,0.8873,0.99159,0.97674,0.994,0.9924,0.14998,0.24354,0.22364,0.000360055,0.000360055,0.000360055
63,4058.85,0.04624,0.23211,0.88775,0.99297,0.98323,0.9942,0.99356,0.15598,0.25337,0.2335,0.000351056,0.000351056,0.000351056
64,4120.75,0.04537,0.23089,0.88838,0.9936,0.97426,0.99401,0.98798,0.15231,0.27905,0.2311,0.000342057,0.000342057,0.000342057
65,4182.87,inf,0.24101,0.88934,0.99211,0.98419,0.99413,0.98835,0.19622,0.32302,0.28635,0.000333058,0.000333058,0.000333058
66,4244.74,0.04361,0.22605,0.88696,0.9906,0.98564,0.99433,0.99364,0.18283,0.24323,0.26314,0.000324058,0.000324058,0.000324058
67,4306.59,0.04237,0.22093,0.88778,0.99318,0.98754,0.99468,0.99441,0.18237,0.21871,0.25149,0.000315059,0.000315059,0.000315059
68,4368.71,0.04158,0.22077,0.88754,0.99212,0.98546,0.99431,0.99431,0.19756,0.24012,0.26555,0.00030606,0.00030606,0.00030606
69,4430.62,0.04187,0.21971,0.89224,0.98294,0.98601,0.99389,0.98831,0.20388,0.30023,0.29117,0.000297061,0.000297061,0.000297061
70,4492.58,0.0404,0.21649,0.88825,0.98819,0.98635,0.99478,0.99478,0.18519,0.25586,0.26736,0.000288062,0.000288062,0.000288062
71,4554.89,0.04013,0.21137,0.88724,0.99294,0.98426,0.99458,0.99458,0.16962,0.24617,0.2386,0.000279063,0.000279063,0.000279063
72,4616.87,0.04106,0.2138,0.88975,0.98763,0.97989,0.99438,0.99428,0.17,0.24003,0.24553,0.000270064,0.000270064,0.000270064
73,4678.82,0.04058,0.20841,0.88569,0.98902,0.986,0.99443,0.99389,0.17129,0.23829,0.26198,0.000261065,0.000261065,0.000261065
74,4740.8,0.03816,0.20061,0.88793,0.99055,0.98559,0.99471,0.99416,0.14244,0.22943,0.21995,0.000252066,0.000252066,0.000252066
75,4802.69,inf,0.20159,0.88515,0.98754,0.98872,0.99454,0.99431,0.14732,0.23869,0.2364,0.000243067,0.000243067,0.000243067
76,4870.43,0.03785,0.19813,0.88814,0.9834,0.98113,0.99308,0.99308,0.16366,0.31004,0.2341,0.000234068,0.000234068,0.000234068
77,4938.62,0.03782,0.19461,0.88709,0.9874,0.98291,0.99337,0.99337,0.13604,0.25718,0.20875,0.000225068,0.000225068,0.000225068
78,5005.17,0.03791,0.19786,0.8858,0.99296,0.979,0.99423,0.99423,0.14665,0.25729,0.22209,0.000216069,0.000216069,0.000216069
79,5066.92,0.03598,0.19811,0.88797,0.98651,0.98787,0.9945,0.99441,0.20525,0.38778,0.29438,0.00020707,0.00020707,0.00020707
80,5128.9,0.03672,0.18904,0.88601,0.99445,0.98384,0.99474,0.99463,0.17763,0.2671,0.3076,0.000198071,0.000198071,0.000198071
81,5190.69,0.0352,0.17994,0.88713,0.98994,0.98575,0.99452,0.99452,0.16627,0.27723,0.28289,0.000189072,0.000189072,0.000189072
82,5252.63,0.03412,0.17738,0.88672,0.99036,0.98595,0.99435,0.99426,0.1524,0.25934,0.23389,0.000180073,0.000180073,0.000180073
83,5314.53,inf,0.17808,0.88422,0.99059,0.99003,0.99446,0.99446,0.16079,0.24046,0.23819,0.000171074,0.000171074,0.000171074
84,5376.57,0.03317,0.17484,0.88811,0.99091,0.98532,0.99431,0.99395,0.20258,0.36853,0.25722,0.000162075,0.000162075,0.000162075
85,5441.43,0.03375,0.1722,0.88383,0.99593,0.98212,0.99474,0.99069,0.20166,0.39494,0.22971,0.000153076,0.000153076,0.000153076
86,5503.4,0.03237,0.17909,0.88596,0.99592,0.98111,0.99474,0.99466,0.16192,0.28942,0.22615,0.000144077,0.000144077,0.000144077
87,5570.07,0.03243,0.165,0.885,0.9959,0.98549,0.99487,0.99403,0.1499,0.24624,0.23932,0.000135077,0.000135077,0.000135077
88,5631.96,0.0328,0.1743,0.88438,0.99203,0.98336,0.99465,0.989,0.21539,0.3452,0.35788,0.000126078,0.000126078,0.000126078
89,5693.99,0.03105,0.16259,0.88541,0.98883,0.9887,0.9948,0.9926,0.16433,0.27121,0.25885,0.000117079,0.000117079,0.000117079
90,5761.49,0.03087,0.16166,0.8856,0.99362,0.98083,0.99457,0.99323,0.17008,0.29838,0.26051,0.00010808,0.00010808,0.00010808
91,5826.47,0.0293,0.09172,0.90589,0.99279,0.98101,0.99446,0.99369,0.17493,0.30808,0.25984,9.9081e-05,9.9081e-05,9.9081e-05
92,5888.26,inf,0.068,0.90393,0.98963,0.98481,0.99371,0.98142,0.26849,0.4244,0.37624,9.00819e-05,9.00819e-05,9.00819e-05
93,5949.95,0.02655,0.05692,0.89976,0.98954,0.98716,0.9945,0.98684,0.22729,0.36004,0.31766,8.10828e-05,8.10828e-05,8.10828e-05
94,6011.87,0.02242,0.04683,0.89967,0.98954,0.98245,0.99458,0.99453,0.19842,0.34611,0.27706,7.20837e-05,7.20837e-05,7.20837e-05
95,6073.73,0.0204,0.04003,0.89658,0.98816,0.98213,0.9944,0.99435,0.17967,0.33717,0.24952,6.30846e-05,6.30846e-05,6.30846e-05
96,6135.55,0.01984,0.04007,0.89564,0.99181,0.98141,0.99448,0.99438,0.1598,0.29176,0.21911,5.40855e-05,5.40855e-05,5.40855e-05
97,6197.42,0.01843,0.04058,0.89525,0.99205,0.98523,0.99463,0.99463,0.14044,0.25476,0.19181,4.50864e-05,4.50864e-05,4.50864e-05
98,6261.19,0.01687,0.03323,0.89855,0.99342,0.98215,0.99452,0.99452,0.14092,0.2565,0.19231,3.60873e-05,3.60873e-05,3.60873e-05
99,6327.26,0.0169,0.03224,0.89544,0.99317,0.98186,0.99398,0.99393,0.13488,0.25716,0.18615,2.70882e-05,2.70882e-05,2.70882e-05
100,6390.36,0.01603,0.03665,0.89764,0.99207,0.98285,0.99403,0.99397,0.1351,0.26164,0.18559,1.80891e-05,1.80891e-05,1.80891e-05
